2026-09-21 23:04:27,907 - INFO - Test started
2026-09-21 23:04:27,907 - WARNING - This is a warning
2026-09-21 23:04:27,907 - ERROR - This is an error
2026-09-21 23:04:27,907 - CRITICAL - This is a critical message
2026-09-21 23:19:43,064 - INFO - Entering text into: ('id', 'first-name')
2026-09-21 23:19:43,130 - INFO - Entering text into: ('id', 'last-name')
2026-09-21 23:19:43,190 - INFO - Entering text into: ('id', 'postal-code')
2026-09-21 23:19:43,229 - INFO - Clicking element: ('id', 'continue')
2026-09-21 23:19:43,295 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:19:43,312 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:19:43,325 - INFO - Clicking element: ('id', 'finish')
2026-09-21 23:19:43,373 - INFO - Getting text from: ('class name', 'complete-header')
2026-09-21 23:25:57,012 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:25:57,233 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:25:57,514 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:25:57,658 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:25:57,889 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-21 23:25:57,985 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-21 23:25:58,073 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:25:58,098 - INFO - Clicking element: ('id', 'checkout')
2026-09-21 23:25:58,204 - INFO - Entering text into: ('id', 'first-name')
2026-09-21 23:25:58,350 - INFO - Entering text into: ('id', 'last-name')
2026-09-21 23:25:58,438 - INFO - Entering text into: ('id', 'postal-code')
2026-09-21 23:25:58,544 - INFO - Clicking element: ('id', 'continue')
2026-09-21 23:25:58,627 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:25:58,650 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:25:58,669 - INFO - Clicking element: ('id', 'finish')
2026-09-21 23:25:58,747 - INFO - Getting text from: ('class name', 'complete-header')
2026-09-21 23:28:27,503 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:28:27,581 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:28:27,623 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:28:27,694 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:28:27,759 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-21 23:28:27,818 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-21 23:28:27,872 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:28:28,418 - INFO - Clicking element: ('id', 'checkout')
2026-09-21 23:28:28,469 - INFO - Entering text into: ('id', 'first-name')
2026-09-21 23:28:28,515 - INFO - Entering text into: ('id', 'last-name')
2026-09-21 23:28:28,555 - INFO - Entering text into: ('id', 'postal-code')
2026-09-21 23:28:28,594 - INFO - Clicking element: ('id', 'continue')
2026-09-21 23:28:28,651 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:28:28,671 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:28:28,683 - INFO - Clicking element: ('id', 'finish')
2026-09-21 23:28:28,732 - INFO - Getting text from: ('class name', 'complete-header')
2026-09-21 23:39:01,722 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:39:01,890 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:39:02,014 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:39:02,126 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:39:02,244 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-21 23:39:02,349 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-21 23:39:02,410 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:39:02,441 - INFO - Clicking element: ('id', 'checkout')
2026-09-21 23:39:02,500 - INFO - Entering text into: ('id', 'first-name')
2026-09-21 23:39:02,567 - INFO - Entering text into: ('id', 'last-name')
2026-09-21 23:39:02,614 - INFO - Entering text into: ('id', 'postal-code')
2026-09-21 23:39:02,660 - INFO - Clicking element: ('id', 'continue')
2026-09-21 23:39:02,718 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:39:02,732 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:39:02,745 - INFO - Clicking element: ('id', 'finish')
2026-09-21 23:39:02,795 - INFO - Getting text from: ('class name', 'complete-header')
2026-09-21 23:39:44,600 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:39:44,689 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:39:44,738 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:39:44,817 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:39:44,887 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-21 23:39:44,936 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-21 23:39:44,989 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:39:45,016 - INFO - Clicking element: ('id', 'checkout')
2026-09-21 23:39:45,070 - INFO - Entering text into: ('id', 'first-name')
2026-09-21 23:39:45,144 - INFO - Entering text into: ('id', 'last-name')
2026-09-21 23:39:45,207 - INFO - Entering text into: ('id', 'postal-code')
2026-09-21 23:39:45,324 - INFO - Clicking element: ('id', 'continue')
2026-09-21 23:39:45,431 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:39:45,457 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:39:45,476 - INFO - Clicking element: ('id', 'finish')
2026-09-21 23:39:45,558 - INFO - Getting text from: ('class name', 'complete-header')
2026-09-21 23:49:10,959 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:49:11,092 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:49:11,204 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:49:11,312 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:49:11,433 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-21 23:49:11,542 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-21 23:49:11,643 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:49:11,697 - INFO - Clicking element: ('id', 'checkout')
2026-09-21 23:49:11,783 - INFO - Entering text into: ('id', 'first-name')
2026-09-21 23:49:11,865 - INFO - Entering text into: ('id', 'last-name')
2026-09-21 23:49:11,921 - INFO - Entering text into: ('id', 'postal-code')
2026-09-21 23:49:11,974 - INFO - Clicking element: ('id', 'continue')
2026-09-21 23:49:12,041 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:49:12,056 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:49:12,070 - INFO - Clicking element: ('id', 'finish')
2026-09-21 23:49:12,122 - INFO - Getting text from: ('class name', 'complete-header')
2026-09-21 23:50:21,416 - INFO - Test started
2026-09-21 23:50:21,416 - WARNING - This is a warning
2026-09-21 23:50:21,416 - ERROR - This is an error
2026-09-21 23:50:21,416 - CRITICAL - This is a critical message
2026-09-21 23:50:23,031 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:50:23,148 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:50:23,190 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:50:23,283 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:50:23,288 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:50:23,368 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:50:26,803 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:50:27,014 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:50:27,069 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:50:28,172 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:50:28,258 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:50:28,305 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:50:30,442 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:50:30,520 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:50:30,572 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:50:31,758 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:50:31,836 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:50:31,882 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:50:33,979 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:50:34,072 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:50:34,139 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:50:34,281 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:50:34,343 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-21 23:50:34,412 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-21 23:50:34,471 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:50:34,503 - INFO - Clicking element: ('id', 'checkout')
2026-09-21 23:50:34,575 - INFO - Entering text into: ('id', 'first-name')
2026-09-21 23:50:34,638 - INFO - Entering text into: ('id', 'last-name')
2026-09-21 23:50:34,710 - INFO - Entering text into: ('id', 'postal-code')
2026-09-21 23:50:34,783 - INFO - Clicking element: ('id', 'continue')
2026-09-21 23:50:34,879 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:50:34,916 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:50:34,941 - INFO - Clicking element: ('id', 'finish')
2026-09-21 23:50:35,027 - INFO - Getting text from: ('class name', 'complete-header')
2026-09-22 19:03:47,302 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 19:03:47,426 - INFO - Entering text into: ('id', 'password')
2026-09-22 19:03:47,510 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 19:03:47,591 - INFO - Getting text from: ('class name', 'title')
2026-09-22 19:03:47,681 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-22 19:03:47,752 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-22 19:03:47,825 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-22 19:03:47,849 - INFO - Clicking element: ('id', 'checkout')
2026-09-22 19:03:47,899 - INFO - Entering text into: ('id', 'first-name')
2026-09-22 19:03:47,948 - INFO - Entering text into: ('id', 'last-name')
2026-09-22 19:03:47,991 - INFO - Entering text into: ('id', 'postal-code')
2026-09-22 19:03:48,045 - INFO - Clicking element: ('id', 'continue')
2026-09-22 19:03:48,110 - INFO - Getting text from: ('class name', 'title')
2026-09-22 19:03:48,128 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-22 19:03:48,142 - INFO - Clicking element: ('id', 'finish')
2026-09-22 19:03:48,195 - INFO - Getting text from: ('class name', 'complete-header')
2026-09-22 22:25:24,270 - INFO - Test started
2026-09-22 22:25:24,270 - WARNING - This is a warning
2026-09-22 22:25:24,270 - ERROR - This is an error
2026-09-22 22:25:24,270 - CRITICAL - This is a critical message
2026-09-22 22:25:27,250 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:25:27,419 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:25:27,527 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:25:32,586 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:25:32,732 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:25:32,849 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:25:37,558 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:25:37,782 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:25:37,895 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:25:42,542 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:25:42,701 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:25:42,814 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:25:47,640 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:25:47,816 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:25:47,924 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:25:52,896 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:25:53,049 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:25:53,151 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:25:57,887 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:25:58,074 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:25:58,165 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:25:58,312 - INFO - Getting text from: ('class name', 'title')
2026-09-22 22:25:58,418 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-22 22:25:58,520 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-22 22:25:58,604 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-22 22:25:58,644 - INFO - Clicking element: ('id', 'checkout')
2026-09-22 22:25:58,761 - INFO - Entering text into: ('id', 'first-name')
2026-09-22 22:25:58,843 - INFO - Entering text into: ('id', 'last-name')
2026-09-22 22:25:58,957 - INFO - Entering text into: ('id', 'postal-code')
2026-09-22 22:25:59,107 - INFO - Clicking element: ('id', 'continue')
2026-09-22 22:25:59,345 - INFO - Getting text from: ('class name', 'title')
2026-09-22 22:25:59,412 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-22 22:25:59,467 - INFO - Clicking element: ('id', 'finish')
2026-09-22 22:25:59,695 - INFO - Getting text from: ('class name', 'complete-header')
2026-09-22 22:32:08,849 - INFO - Test started
2026-09-22 22:32:08,849 - WARNING - This is a warning
2026-09-22 22:32:08,849 - ERROR - This is an error
2026-09-22 22:32:08,849 - CRITICAL - This is a critical message
2026-09-22 22:32:10,598 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:32:10,916 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:32:11,043 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:32:15,946 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:32:16,109 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:32:16,216 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:32:20,999 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:32:21,181 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:32:21,306 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:32:26,002 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:32:26,190 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:32:26,298 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:32:31,218 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:32:31,451 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:32:31,621 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:32:36,491 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:32:36,732 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:32:36,910 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:32:41,662 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:32:41,850 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:32:41,960 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:32:42,178 - INFO - Getting text from: ('class name', 'title')
2026-09-22 22:32:42,413 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-22 22:32:42,569 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-22 22:32:42,707 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-22 22:32:42,743 - INFO - Clicking element: ('id', 'checkout')
2026-09-22 22:32:42,852 - INFO - Entering text into: ('id', 'first-name')
2026-09-22 22:32:42,945 - INFO - Entering text into: ('id', 'last-name')
2026-09-22 22:32:43,030 - INFO - Entering text into: ('id', 'postal-code')
2026-09-22 22:32:43,108 - INFO - Clicking element: ('id', 'continue')
2026-09-22 22:32:43,312 - INFO - Getting text from: ('class name', 'title')
2026-09-22 22:32:43,373 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-22 22:32:43,426 - INFO - Clicking element: ('id', 'finish')
2026-09-22 22:32:43,635 - INFO - Getting text from: ('class name', 'complete-header')
2026-09-22 22:35:41,248 - INFO - Test started
2026-09-22 22:35:41,249 - WARNING - This is a warning
2026-09-22 22:35:41,249 - ERROR - This is an error
2026-09-22 22:35:41,249 - CRITICAL - This is a critical message
2026-09-22 22:35:42,863 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:35:43,022 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:35:43,133 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:35:48,060 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:35:48,254 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:35:48,377 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:35:53,155 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:35:53,351 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:35:53,457 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:35:58,098 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:35:58,274 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:35:58,384 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:36:03,157 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:36:03,389 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:36:03,521 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:36:08,309 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:36:08,499 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:36:08,607 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:36:13,353 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:36:13,525 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:36:13,605 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:36:13,730 - INFO - Getting text from: ('class name', 'title')
2026-09-22 22:36:13,875 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-22 22:36:13,984 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-22 22:36:14,086 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-22 22:36:14,119 - INFO - Clicking element: ('id', 'checkout')
2026-09-22 22:36:14,235 - INFO - Entering text into: ('id', 'first-name')
2026-09-22 22:36:14,348 - INFO - Entering text into: ('id', 'last-name')
2026-09-22 22:36:14,448 - INFO - Entering text into: ('id', 'postal-code')
2026-09-22 22:36:14,523 - INFO - Clicking element: ('id', 'continue')
2026-09-22 22:36:14,663 - INFO - Getting text from: ('class name', 'title')
2026-09-22 22:36:14,695 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-22 22:36:14,728 - INFO - Clicking element: ('id', 'finish')
2026-09-22 22:36:14,850 - INFO - Getting text from: ('class name', 'complete-header')
2026-09-22 22:41:47,395 - INFO - Test started
2026-09-22 22:41:47,395 - WARNING - This is a warning
2026-09-22 22:41:47,395 - ERROR - This is an error
2026-09-22 22:41:47,395 - CRITICAL - This is a critical message
2026-09-22 22:41:48,935 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:41:49,376 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:41:49,511 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:41:54,488 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:41:54,674 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:41:54,780 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:41:59,499 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:41:59,697 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:41:59,805 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:42:04,471 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:42:04,663 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:42:04,773 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:42:09,660 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:42:09,849 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:42:09,955 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:42:14,671 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:42:14,866 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:42:14,975 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:42:19,650 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 22:42:19,862 - INFO - Entering text into: ('id', 'password')
2026-09-22 22:42:19,993 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 22:42:20,141 - INFO - Getting text from: ('class name', 'title')
2026-09-22 22:42:20,285 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-22 22:42:20,424 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-22 22:42:20,668 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-22 22:42:20,749 - INFO - Clicking element: ('id', 'checkout')
2026-09-22 22:42:20,930 - INFO - Entering text into: ('id', 'first-name')
2026-09-22 22:42:21,065 - INFO - Entering text into: ('id', 'last-name')
2026-09-22 22:42:21,164 - INFO - Entering text into: ('id', 'postal-code')
2026-09-22 22:42:21,246 - INFO - Clicking element: ('id', 'continue')
2026-09-22 22:42:21,374 - INFO - Getting text from: ('class name', 'title')
2026-09-22 22:42:21,404 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-22 22:42:21,433 - INFO - Clicking element: ('id', 'finish')
2026-09-22 22:42:21,563 - INFO - Getting text from: ('class name', 'complete-header')
2026-09-22 23:01:50,848 - INFO - Test started
2026-09-22 23:01:50,848 - WARNING - This is a warning
2026-09-22 23:01:50,848 - ERROR - This is an error
2026-09-22 23:01:50,848 - CRITICAL - This is a critical message
2026-09-22 23:01:53,978 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 23:01:54,041 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 23:01:54,260 - INFO - Entering text into: ('id', 'password')
2026-09-22 23:01:54,311 - INFO - Entering text into: ('id', 'password')
2026-09-22 23:01:54,409 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 23:01:54,455 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 23:02:00,254 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 23:02:00,296 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 23:02:00,510 - INFO - Entering text into: ('id', 'password')
2026-09-22 23:02:00,542 - INFO - Entering text into: ('id', 'password')
2026-09-22 23:02:00,646 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 23:02:00,683 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 23:02:06,547 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 23:02:06,607 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 23:02:06,801 - INFO - Entering text into: ('id', 'password')
2026-09-22 23:02:06,818 - INFO - Entering text into: ('id', 'password')
2026-09-22 23:02:06,897 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 23:02:06,905 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 23:02:11,677 - INFO - Entering text into: ('id', 'user-name')
2026-09-22 23:02:11,877 - INFO - Entering text into: ('id', 'password')
2026-09-22 23:02:11,999 - INFO - Clicking element: ('id', 'login-button')
2026-09-22 23:02:12,170 - INFO - Getting text from: ('class name', 'title')
2026-09-22 23:02:12,318 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-22 23:02:12,479 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-22 23:02:12,578 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-22 23:02:12,610 - INFO - Clicking element: ('id', 'checkout')
2026-09-22 23:02:12,702 - INFO - Entering text into: ('id', 'first-name')
2026-09-22 23:02:12,825 - INFO - Entering text into: ('id', 'last-name')
2026-09-22 23:02:12,945 - INFO - Entering text into: ('id', 'postal-code')
2026-09-22 23:02:13,069 - INFO - Clicking element: ('id', 'continue')
2026-09-22 23:02:13,226 - INFO - Getting text from: ('class name', 'title')
2026-09-22 23:02:13,272 - INFO - Getting text from: ('class name', 'inventory_item_name')
